# id	left	top	right	bottom	texture_id
[SPRITES]
#Pink block
111001	0	51	15	66	50
111002	17	51	32	66	50
111003	34	51	49	66	50
111004	0	68	15	83	50
111005	17	68	32	83	50
111006	34	68	49	83	50
111007	0	85	15	100	50
111008	17	85	32	100	50
111009	34	85	49	100	50

#Blue block
112001	51	51	66	66	50			
112002	68	51	83	66	50
112003	85	51	100	66	50
112004	51	68	66	83	50
112005	68	68	83	83	50
112006	85	68	100	83	50
112007	51	85	66	100	50
112008	68	85	83	100	50
112009	85	85	100	100	50

#Green block
113001	51	0	66	15	50
113002	68	0	83	15	50
113003	85	0	100	15	50
113004	51	17	66	32	50
113005	68	17	83	32	50
113006	85	17	100	32	50
113007	51	34	66	49	50
113008	68	34	83	49	50
113009	85	34	100	49	50

#White block
114001	0	0	15	15	50
114002	17	0	32	15	50
114003	34	0	49	15	50
114004	0	17	15	32	50
114005	17	17	32	32	50
114006	34	17	49	32	50
114007	0	34	15	49	50
114008	17	34	32	49	50
114009	34	34	49	49	50

#Shadow
115001	102	76	109	83	50
115002	102	85	109	92	50
115003	76	102	83	109	50			
115004	102	102	109	109	50





# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
